iter	Passed	Remaining
0	164	164106
1	166	83034
2	168	55839
3	169	42243
4	171	34114
5	173	28780
6	175	24899
7	178	22076
8	179	19803
9	181	17963
10	183	16461
11	184	15216
12	187	14216
13	188	13307
14	191	12548
15	193	11899
16	195	11285
17	196	10736
18	198	10270
19	201	9877
20	203	9500
21	206	9159
22	207	8833
23	209	8530
24	210	8228
25	212	7948
26	214	7737
27	216	7498
28	217	7283
29	219	7101
30	220	6902
31	221	6714
32	223	6537
33	224	6374
34	225	6217
35	226	6071
36	228	5958
37	230	5838
38	231	5715
39	233	5596
40	234	5491
41	236	5394
42	237	5288
43	238	5187
44	239	5090
45	241	5010
46	243	4931
47	244	4849
48	245	4769
49	246	4692
50	248	4617
51	249	4543
52	250	4472
53	251	4405
54	252	4338
55	253	4275
56	256	4236
57	258	4198
58	259	4141
59	260	4085
60	261	4030
61	262	3978
62	264	3926
63	265	3877
64	266	3828
65	267	3783
66	268	3738
67	271	3721
68	272	3678
69	273	3637
70	274	3595
71	275	3554
72	276	3515
73	277	3476
74	278	3440
75	279	3403
76	281	3368
77	282	3335
78	283	3300
79	286	3292
80	287	3260
81	288	3231
82	289	3195
83	290	3165
84	291	3136
85	292	3107
86	293	3078
87	294	3049
88	295	3021
89	296	2993
90	297	2967
91	298	2946
92	300	2929
93	301	2906
94	302	2882
95	303	2860
96	304	2836
97	305	2812
98	306	2790
99	307	2769
100	308	2747
101	309	2727
102	310	2705
103	312	2690
104	313	2676
105	315	2661
106	317	2646
107	318	2628
108	319	2610
109	320	2592
110	321	2576
111	322	2558
112	323	2541
113	324	2524
114	326	2511
115	327	2495
116	329	2488
117	331	2474
118	331	2457
119	332	2441
120	333	2424
121	334	2407
122	335	2391
123	336	2376
124	337	2361
125	338	2347
126	339	2332
127	340	2318
128	341	2304
129	342	2291
130	344	2287
131	346	2275
132	347	2262
133	348	2249
134	349	2236
135	350	2224
136	351	2211
137	352	2200
138	353	2191
139	355	2181
140	356	2169
141	356	2156
142	358	2149
143	360	2140
144	361	2129
145	362	2118
146	363	2107
147	364	2096
148	364	2084
149	366	2075
150	367	2065
151	368	2055
152	369	2045
153	370	2035
154	371	2025
155	373	2018
156	374	2013
157	376	2003
158	377	1994
159	378	1985
160	378	1974
161	379	1964
162	380	1955
163	381	1946
164	382	1937
165	383	1927
166	384	1918
167	385	1910
168	386	1902
169	389	1900
170	390	1892
171	391	1884
172	392	1876
173	393	1867
174	394	1860
175	395	1853
176	396	1844
177	398	1837
178	399	1830
179	400	1823
180	401	1815
181	402	1811
182	404	1806
183	405	1798
184	406	1791
185	407	1783
186	409	1778
187	410	1770
188	410	1763
189	412	1756
190	413	1749
191	414	1742
192	415	1735
193	416	1728
194	417	1724
195	419	1721
196	420	1715
197	421	1709
198	423	1703
199	424	1697
200	426	1693
201	427	1687
202	428	1681
203	429	1675
204	430	1669
205	431	1662
206	433	1661
207	434	1656
208	435	1649
209	437	1644
210	438	1637
211	438	1631
212	439	1625
213	440	1618
214	441	1612
215	442	1605
216	443	1599
217	444	1593
218	444	1586
219	445	1580
220	447	1576
221	448	1570
222	449	1565
223	450	1559
224	451	1553
225	451	1547
226	452	1541
227	453	1535
228	454	1530
229	455	1524
230	456	1518
231	456	1512
232	457	1507
233	458	1501
234	459	1495
235	460	1490
236	461	1484
237	462	1481
238	463	1477
239	465	1472
240	466	1467
241	466	1462
242	467	1457
243	468	1452
244	469	1447
245	470	1442
246	471	1437
247	472	1432
248	473	1426
249	473	1421
250	474	1416
251	475	1410
252	476	1406
253	477	1403
254	479	1401
255	480	1397
256	481	1392
257	482	1388
258	483	1383
259	484	1379
260	485	1375
261	486	1370
262	487	1366
263	488	1362
264	489	1357
265	490	1353
266	492	1352
267	493	1349
268	494	1345
269	495	1340
270	497	1337
271	498	1333
272	498	1328
273	499	1324
274	500	1320
275	501	1316
276	503	1313
277	504	1311
278	505	1307
279	507	1304
280	509	1302
281	510	1298
282	510	1294
283	511	1290
284	512	1286
285	513	1282
286	514	1278
287	515	1274
288	516	1270
289	517	1267
290	518	1263
291	519	1259
292	520	1256
293	521	1252
294	523	1249
295	524	1246
296	525	1242
297	525	1238
298	526	1235
299	527	1231
300	528	1227
301	529	1223
302	530	1219
303	531	1216
304	532	1213
305	533	1209
306	534	1205
307	535	1202
308	536	1200
309	537	1197
310	538	1193
311	539	1189
312	540	1186
313	541	1182
314	542	1179
315	543	1175
316	544	1172
317	544	1168
318	545	1165
319	546	1161
320	547	1157
321	548	1154
322	549	1151
323	550	1147
324	550	1144
325	552	1141
326	553	1138
327	554	1135
328	555	1132
329	555	1128
330	556	1125
331	557	1121
332	558	1118
333	559	1114
334	559	1111
335	560	1108
336	561	1104
337	562	1101
338	563	1098
339	564	1095
340	565	1092
341	565	1088
342	567	1086
343	568	1083
344	568	1080
345	569	1077
346	570	1073
347	571	1070
348	572	1067
349	573	1064
350	574	1061
351	575	1058
352	576	1055
353	577	1053
354	578	1050
355	579	1047
356	579	1044
357	580	1041
358	582	1040
359	583	1037
360	584	1034
361	585	1031
362	586	1028
363	586	1025
364	588	1022
365	588	1020
366	589	1017
367	590	1014
368	591	1012
369	592	1009
370	593	1006
371	594	1003
372	595	1000
373	596	998
374	597	996
375	599	994
376	599	991
377	600	988
378	601	985
379	602	983
380	603	980
381	604	978
382	605	975
383	606	973
384	607	971
385	608	968
386	609	965
387	610	963
388	612	962
389	613	960
390	614	957
391	615	955
392	616	952
393	617	950
394	618	947
395	619	944
396	620	942
397	621	939
398	621	936
399	622	934
400	623	931
401	624	928
402	625	926
403	626	923
404	627	921
405	628	919
406	629	917
407	630	914
408	631	912
409	632	909
410	632	907
411	633	904
412	634	901
413	635	899
414	636	896
415	636	894
416	637	891
417	638	889
418	639	886
419	640	884
420	641	882
421	642	880
422	643	877
423	644	875
424	645	872
425	646	870
426	646	868
427	647	865
428	648	863
429	649	860
430	650	858
431	650	855
432	651	853
